Sr_No,Date_dd/mm/yyyy,Startup_Name,Industry_Vertical,SubVertical,Country,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Currency,Remarks
1,22/04/2023,ZenBridgeWise,Gaming,Mobile Games,India,Bengaluru,SOSV,Series C,0,USD,Undisclosed amount
2,14/01/2020,CloudNovaLink,SaaS,MarTech,Brazil,São Paulo,Seedcamp; Founders Fund,Series B,36688000,USD,Product pivot
3,3/7/2024,ForgeCloud,E-commerce,D2C,India,Bengaluru,Norwest,IPO,772831000,USD,Active
4,25/11/2022,BytePeak,Logistics,LastMile,China,Beijing,DST Global; Matrix Partners,Seed,2559000,USD,Down round
5,8/5/2017,CloudSeedPeak,Healthtech,MedDevices,Germany,Berlin,Matrix Partners; Blume Ventures,Angel,247717,USD,Partnership announced
6,6/3/2022,LumenSyncPeak,Gaming,Esports,Nigeria,Lagos,Benchmark,Series B,31932000,USD,Exited - IPO
7,12/5/2021,MintPulseHarbor,Fintech,Neobanking,USA,San Francisco,Lightspeed,Series C,245374000,USD,Operational
8,21/10/2019,CoreLoopSync,Gaming,Cloud Gaming,Israel,Tel Aviv,Founders Fund; Benchmark,Seed,2169000,USD,Follow-on expected
9,6/9/2021,OrbitCloud,Healthtech,Telemedicine,Germany,Berlin,Bessemer Venture Partners; DST Global; Angel: L. Wang,Seed,1442000,USD,Series delayed
10,14/01/2015,VaultCloudOrbit,Fintech,Payments,Nigeria,Lagos,Bessemer Venture Partners,Series C,212630000,USD,Follow-on expected
11,25/09/2023,NovaForgeMint,Healthtech,Health Analytics,Brazil,São Paulo,Blume Ventures,Series B,0,USD,Undisclosed amount
12,13/07/2023,EdgeEdgePeak,AI,Robotics,India,Mumbai,Tiger Global; SOSV; General Catalyst,Pre-Seed,79364,USD,Operational
13,30/06/2018,PeakHarbor,Edtech,Test Prep,Brazil,São Paulo,Founders Fund; SOSV; Seedcamp,Growth,247170000,USD,Exited - IPO
14,7/8/2021,NovaZen,Logistics,ColdChain,Germany,Berlin,Falcon Edge,Seed,637088,USD,Product pivot
15,27/05/2017,EdgeVaultBridge,SaaS,HRTech,USA,San Francisco,Benchmark,Growth,58041000,USD,Bankruptcy proceeding
16,6/3/2023,PeakHarbor,CleanTech,WasteTech,India,Bengaluru,Bessemer Venture Partners,Seed,3716000,USD,Partnership announced
17,14/02/2018,SyncZen,Biotech,Diagnostics,Germany,Berlin,Andreessen Horowitz,Seed,1696000,USD,Operational
